model,threads,xprs_cuts,nperiod,month,size,inst,nodes,simplexiter,runtime,bestobj,bestbound,actobj,rows,cols,binaries,nonzeros,facets,depth_limit,freq,rootscuts,treecuts,cut_cnt,callback_time,rootbestobj,rootbestbound
GIB,4,-1,168,June,large,5,1144,69343,22.67,69611.37286,69618.2739,69116.31354,7223,16800,3024,169004,,,,,,,,,
GIB,4,-1,168,June,large,0,3,40275,28.5,70605.61014,70611.07381,70933.44172,6215,16296,2520,151868,,,,,,,,,
GIB,4,-1,168,June,large,3,7457,309936,70.75,72097.32222,72104.01478,72878.14258,6215,16296,2520,152204,,,,,,,,,
GIB,4,-1,168,June,large,9,195333,5465237,1569.37,68599.36291,68606.19923,69505.64871,7223,16800,3024,167660,,,,,,,,,
DCC,4,-1,168,June,small,9,0,2451,1.38,61805.62221,61807.00192,62861.72699,6887,18816,5040,80132,,,,,,,,,
DCC,4,-1,168,June,small,6,0,7508,4.11,65588.30372,65593.47818,69124.20579,6887,18816,5040,80132,,,,,,,,,
DCC,4,-1,168,June,small,8,0,5839,5.57,70621.29031,70621.71414,72165.77107,6887,18816,5040,80132,,,,,,,,,
DCC,4,-1,168,June,small,1,0,7021,6.13,62564.47746,62570.00686,66462.83118,6887,18816,5040,80132,,,,,,,,,
DCC,4,-1,168,June,small,5,0,9003,7.37,60478.72551,60484.05771,65121.81926,6887,18816,5040,80132,,,,,,,,,
DCC,4,-1,168,June,small,2,122,16648,7.97,71597.86398,71601.26684,72629.11728,6887,18816,5040,80132,,,,,,,,,
DCC,4,-1,168,June,small,4,1110,45366,26.93,63763.18178,63769.31887,65366.25462,6887,18816,5040,80132,,,,,,,,,
DCC,4,-1,168,June,small,3,28435,557436,165.94,66368.99054,66374.40396,68248.30346,6887,18816,5040,80132,,,,,,,,,
DCC,4,-1,168,June,small,7,282473,13572416,3600.05,66658.48283,66906.92243,68137.97937,5869,16425,4159,190170,,,,,,,,,
DCC,4,-1,168,June,small,0,461337,21005656,3600.06,69252.59314,69456.51944,70832.12254,5833,16641,4256,124627,,,,,,,,,
DCC,4,-1,168,June,medium,9,0,4982,5.67,71469.14914,71473.64579,72140.70673,13271,44352,11424,188660,,,,,,,,,
DCC,4,-1,168,June,medium,0,0,8015,10.84,67619.66001,67624.71563,67102.97033,13271,44352,11424,188660,,,,,,,,,
DCC,4,-1,168,June,medium,6,3,7483,15.45,70409.76819,70416.26371,71158.01328,13271,44352,11424,188660,,,,,,,,,
DCC,4,-1,168,June,medium,5,5,25426,23.34,66622.38844,66622.4554,69523.55914,13271,44352,11424,188660,,,,,,,,,
DCC,4,-1,168,June,medium,3,1128,34705,24.48,69848.74418,69855.43339,71151.41161,13271,44352,11424,188660,,,,,,,,,
DCC,4,-1,168,June,medium,4,1087,62143,30.25,72091.75899,72096.59948,71044.14839,13271,44352,11424,188660,,,,,,,,,
DCC,4,-1,168,June,medium,1,15068,155482,151.69,69514.3315,69521.0343,68954.35916,13271,44352,11424,188660,,,,,,,,,
DCC,4,-1,168,June,medium,8,46970,410568,480.58,67565.07405,67571.659,69163.05345,13271,44352,11424,188660,,,,,,,,,
DCC,4,-1,168,June,medium,2,380465,7371514,3600.04,71670.45555,71736.72621,72312.2857,12552,43506,11158,414706,,,,,,,,,
DCC,4,-1,168,June,medium,7,167141,8180995,3600.06,70437.77881,70831.35487,71186.86276,11590,40580,10294,517653,,,,,,,,,
DCC,4,-1,168,June,large,1,2,10028,25.4,70809.191,70815.09876,71642.70978,23687,86016,21840,365732,,,,,,,,,
DCC,4,-1,168,June,large,8,0,4554,28.21,71533.2797,71540.40996,71445.80895,23687,86016,21840,365732,,,,,,,,,
DCC,4,-1,168,June,large,2,1,10246,49.94,71719.22127,71725.25326,72250.14417,23687,86016,21840,365732,,,,,,,,,
DCC,4,-1,168,June,large,5,5746,95750,216.22,69612.52875,69618.96306,70047.10229,23687,86016,21840,365732,,,,,,,,,
DCC,4,-1,168,June,large,0,6650,101863,310.51,70605.61014,70610.52626,71964.59969,23687,86016,21840,365732,,,,,,,,,
DCC,4,-1,168,June,large,6,85290,47177,1412.54,68283.66699,68289.92679,69776.8221,23687,86016,21840,365732,,,,,,,,,
DCC,4,-1,168,June,large,9,55265,658182,1810.55,68599.34166,68606.04751,69500.55558,23687,86016,21840,365732,,,,,,,,,
DCC,4,-1,168,June,large,4,121860,848926,1865.46,72674.19702,72681.461,72975.93251,23687,86016,21840,365732,,,,,,,,,
DCC,4,-1,168,June,large,3,363823,4816143,3600.06,72097.28118,72112.46112,72889.22406,12552,46234,11570,280476,,,,,,,,,
DCC,4,-1,168,June,large,7,83553,3807134,3600.13,70730.14988,70940.50387,71863.05764,22959,85216,21620,535611,,,,,,,,,
CC,4,-1,168,June,small,6,0,7118,1.92,65591.09043,65592.28632,68024.90661,5711,8736,5040,41492,,,,,,,,,
CC,4,-1,168,June,small,9,0,5154,1.81,61805.77699,61806.68487,61833.19222,5711,8736,5040,41492,,,,,,,,,
CC,4,-1,168,June,small,8,5,12355,4.31,70621.29031,70621.36139,71134.6131,5711,8736,5040,41492,,,,,,,,,
CC,4,-1,168,June,small,1,0,4962,4.94,62564.34547,62568.35647,65437.94896,5711,8736,5040,41492,,,,,,,,,
CC,4,-1,168,June,small,2,3,15158,7.17,71597.86398,71597.93608,72629.11728,5711,8736,5040,41492,,,,,,,,,
CC,4,-1,168,June,small,5,0,23546,10.65,60478.06978,60482.15346,61407.35784,5711,8736,5040,41492,,,,,,,,,
CC,4,-1,168,June,small,4,4954,125413,33.81,63763.18179,63769.3895,64335.09679,5711,8736,5040,41492,,,,,,,,,
CC,4,-1,168,June,small,3,8670,291986,58.35,66368.99054,66369.31269,68439.08097,5711,8736,5040,41492,,,,,,,,,
CC,4,-1,168,June,small,0,15492,1148087,167.04,69252.59314,69259.43825,70832.12254,5711,8736,5040,41492,,,,,,,,,
CC,4,-1,168,June,small,7,1392776,32752906,3379.73,66663.1001,66669.76635,68266.85591,5711,8736,5040,41492,,,,,,,,,
CC,4,-1,168,June,medium,0,0,9781,5.83,67619.62853,67619.83534,68127.68879,9575,18984,11424,90212,,,,,,,,,
CC,4,-1,168,June,medium,6,0,12759,7.98,70408.58311,70415.02768,70958.55334,9575,18984,11424,90212,,,,,,,,,
CC,4,-1,168,June,medium,4,1,15098,8.36,72091.77361,72096.0068,70013.78427,9575,18984,11424,90212,,,,,,,,,
CC,4,-1,168,June,medium,9,178,23141,9.7,71472.36826,71472.37423,71112.66879,9575,18984,11424,90212,,,,,,,,,
CC,4,-1,168,June,medium,5,1,19754,12.57,66622.38844,66629.03425,69523.55914,9575,18984,11424,90212,,,,,,,,,
CC,4,-1,168,June,medium,3,1802,58682,28.09,69848.74418,69853.27803,71151.41161,9575,18984,11424,90212,,,,,,,,,
CC,4,-1,168,June,medium,8,7091,87515,54.26,67565.07404,67568.5653,69163.05346,9575,18984,11424,90212,,,,,,,,,
CC,4,-1,168,June,medium,1,31155,455508,179.27,69514.3315,69521.20561,70229.26818,9575,18984,11424,90212,,,,,,,,,
CC,4,-1,168,June,medium,7,452379,13025626,3600.11,70447.56353,70646.466,71083.65494,8598,17959,10864,243392,,,,,,,,,
CC,4,-1,168,June,medium,2,527046,12772397,3600.09,71670.51356,71687.5384,72324.5206,9616,18477,11254,210699,,,,,,,,,
CC,4,-1,168,June,large,8,0,13638,15.05,71533.20525,71537.18751,72476.02699,15791,35616,21840,169172,,,,,,,,,
CC,4,-1,168,June,large,2,124,33590,24.12,71714.94587,71721.0939,72293.29028,15791,35616,21840,169172,,,,,,,,,
CC,4,-1,168,June,large,1,148,21210,25.5,70808.50055,70813.02032,71651.28137,15791,35616,21840,169172,,,,,,,,,
CC,4,-1,168,June,large,5,2336,86573,53.33,69612.52875,69617.735,69015.94431,15791,35616,21840,169172,,,,,,,,,
CC,4,-1,168,June,large,0,5234,225623,152.23,70605.61015,70612.06994,70933.4423,15791,35616,21840,169172,,,,,,,,,
CC,4,-1,168,June,large,4,5562,347648,208.99,72674.19702,72681.27463,72975.93251,15791,35616,21840,169172,,,,,,,,,
CC,4,-1,168,June,large,3,43220,1963875,948.12,72097.32222,72104.29665,72878.14258,15791,35616,21840,169172,,,,,,,,,
CC,4,-1,168,June,large,6,332351,1204807,1850.73,68283.66699,68290.48868,69776.8221,15791,35616,21840,169172,,,,,,,,,
CC,4,-1,168,June,large,7,108451,5887047,3600.26,70733.4557,70987.05946,71948.67087,15270,34171,21037,592372,,,,,,,,,
CC,4,-1,168,June,large,9,115302,4030810,3600.14,68599.36291,68695.13982,69505.64871,15426,35234,21795,406823,,,,,,,,,
MC,4,-1,168,June,small,9,0,7999,5.29,61804.90455,61805.94397,62808.23228,15623,14448,5040,74420,,,,,,,,,
MC,4,-1,168,June,small,8,5,5983,7.29,70621.30739,70621.37846,69859.70432,15623,14448,5040,74420,,,,,,,,,
MC,4,-1,168,June,small,2,32,9561,10.52,71595.91764,71600.81342,72627.94102,15623,14448,5040,74420,,,,,,,,,
MC,4,-1,168,June,small,6,139,16653,14.4,65591.22336,65595.01086,67781.20723,15623,14448,5040,74420,,,,,,,,,
MC,4,-1,168,June,small,1,424,37120,27.19,62564.44095,62570.41946,66461.57533,15623,14448,5040,74420,,,,,,,,,
MC,4,-1,168,June,small,5,2780,64446,36.04,60478.73295,60482.27286,63656.1361,15623,14448,5040,74420,,,,,,,,,
MC,4,-1,168,June,small,3,20698,357191,121.86,66369.02888,66375.24715,65942.22337,15623,14448,5040,74420,,,,,,,,,
MC,4,-1,168,June,small,0,27975,958523,301.09,69252.60126,69258.90406,70832.12203,15623,14448,5040,74420,,,,,,,,,
MC,4,-1,168,June,small,4,23905,683333,325.37,63763.5117,63767.26108,64335.24929,15623,14448,5040,74420,,,,,,,,,
MC,4,-1,168,June,small,7,596506,16421443,3600.07,66663.10321,66701.89598,68266.85875,11980,11152,3548,95137,,,,,,,,,
MC,4,-1,168,June,medium,9,79,12325,39.15,71472.5466,71473.66591,72143.81011,34775,33600,11424,175220,,,,,,,,,
MC,4,-1,168,June,medium,6,359,34633,48.98,70409.98337,70411.98294,70914.36195,34775,33600,11424,175220,,,,,,,,,
MC,4,-1,168,June,medium,0,231,43179,52.16,67617.22254,67620.83743,67026.9507,34775,33600,11424,175220,,,,,,,,,
MC,4,-1,168,June,medium,4,345,55607,53.74,72092.18913,72098.27865,70013.85593,34775,33600,11424,175220,,,,,,,,,
MC,4,-1,168,June,medium,5,806,52126,66.39,66622.80984,66629.1974,67217.62136,34775,33600,11424,175220,,,,,,,,,
MC,4,-1,168,June,medium,8,10691,275139,302.68,67565.32683,67571.95678,69163.13459,34775,33600,11424,175220,,,,,,,,,
MC,4,-1,168,June,medium,1,60253,1466727,866.26,69514.30917,69521.13111,70272.40142,34775,33600,11424,175220,,,,,,,,,
MC,4,-1,168,June,medium,3,83961,1296011,1491.94,69848.74866,69855.72943,71151.41278,34775,33600,11424,175220,,,,,,,,,
MC,4,-1,168,June,medium,2,300702,9004202,3600.1,71667.44378,71715.41954,72391.30177,27898,28313,8995,171158,,,,,,,,,
MC,4,-1,168,June,medium,7,224099,8361150,3600.07,70421.21693,70944.68672,71198.91287,21612,23697,6473,140749,,,,,,,,,
MC,4,-1,168,June,large,2,521,96210,241.54,71720.49818,71727.45684,72250.23743,66023,64848,21840,339860,,,,,,,,,
MC,4,-1,168,June,large,8,1989,280806,355.26,71530.82961,71537.22157,71442.29566,66023,64848,21840,339860,,,,,,,,,
MC,4,-1,168,June,large,1,2592,187871,429.63,70810.16281,70814.2975,70398.20802,66023,64848,21840,339860,,,,,,,,,
MC,4,-1,168,June,large,5,28244,819200,3303.52,69612.6318,69619.52838,70008.03728,66023,64848,21840,339860,,,,,,,,,
MC,4,-1,168,June,large,3,141210,2675926,3600.11,72097.30849,72112.5237,72889.48581,14836,24382,3902,100786,,,,,,,,,
MC,4,-1,168,June,large,7,21151,2242835,3600.19,70713.67507,71181.92786,71896.27778,58797,59439,19251,372276,,,,,,,,,
MC,4,-1,168,June,large,4,76965,1734667,3600.1,72674.85387,72687.31169,72971.30237,39629,44331,12349,243334,,,,,,,,,
MC,4,-1,168,June,large,0,59103,2082789,3600.27,70605.77337,70648.48546,71928.24253,61919,61969,20533,359395,,,,,,,,,
MC,4,-1,168,June,large,6,46458,1219241,3600.31,68283.68426,68351.42663,69776.82737,53559,55422,17269,305819,,,,,,,,,
MC,4,-1,168,June,large,9,24337,2084457,3600.35,68599.62678,68946.70922,69488.83808,62478,62389,20667,436117,,,,,,,,,
DLog,4,-1,168,June,small,9,0,9629,3.7,61805.70384,61806.24888,62859.42168,4199,15288,1512,138596,,,,,,,,,
DLog,4,-1,168,June,small,6,0,11144,8.33,65591.00615,65591.35711,69055.72777,4199,15288,1512,138596,,,,,,,,,
DLog,4,-1,168,June,small,1,0,13004,10.59,62564.56297,62569.27738,66452.6622,4199,15288,1512,138596,,,,,,,,,
DLog,4,-1,168,June,small,2,282,28156,18.87,71597.85065,71602.2385,72628.87455,4199,15288,1512,138596,,,,,,,,,
DLog,4,-1,168,June,small,8,16,19542,19.07,70621.29031,70627.6956,72165.77107,4199,15288,1512,138596,,,,,,,,,
DLog,4,-1,168,June,small,5,43041,519924,261.44,60478.72551,60483.43415,63656.13274,4199,15288,1512,138596,,,,,,,,,
DLog,4,-1,168,June,small,4,105740,1358673,494.59,63763.18178,63769.55652,65366.25462,4199,15288,1512,138596,,,,,,,,,
DLog,4,-1,168,June,small,0,363669,18065797,3600.05,68993.58194,69885.89973,70594.59657,3485,14643,1283,290491,,,,,,,,,
DLog,4,-1,168,June,small,7,498808,8479956,3600.09,66663.1001,66838.89926,68266.85591,3393,14781,1342,336358,,,,,,,,,
DLog,4,-1,168,June,small,3,444510,11853407,3600.1,66364.48998,66989.74023,69814.24519,3293,14543,1183,402540,,,,,,,,,
DLog,4,-1,168,June,medium,0,0,4233,11.19,67617.57405,67624.27036,68143.07005,4535,34608,1680,362708,,,,,,,,,
DLog,4,-1,168,June,medium,9,0,7418,16.17,71472.36826,71478.7769,71112.66879,4535,34608,1680,362708,,,,,,,,,
DLog,4,-1,168,June,medium,6,3,25258,37.21,70409.76819,70416.69666,71158.01328,4535,34608,1680,362708,,,,,,,,,
DLog,4,-1,168,June,medium,4,690,18658,47.11,72091.71077,72095.9382,70014.96119,4535,34608,1680,362708,,,,,,,,,
DLog,4,-1,168,June,medium,1,28861,302951,260.48,69514.3315,69521.21556,69198.1102,4535,34608,1680,362708,,,,,,,,,
DLog,4,-1,168,June,medium,5,63772,832333,660.37,66622.38844,66628.75417,67217.49215,4535,34608,1680,362708,,,,,,,,,
DLog,4,-1,168,June,medium,3,72821,741467,703.57,69848.73382,69855.71091,70120.28135,4535,34608,1680,362708,,,,,,,,,
DLog,4,-1,168,June,medium,7,112698,5382353,3600.11,70416.19927,71084.37194,69853.30919,3674,33652,1350,799591,,,,,,,,,
DLog,4,-1,168,June,medium,8,434038,4719446,3600.08,67562.39157,67626.03063,69029.3061,2680,26535,966,549592,,,,,,,,,
DLog,4,-1,168,June,medium,2,220571,9238791,3600.17,70744.30439,71907.63965,69677.34895,3828,34101,1510,891236,,,,,,,,,
DLog,4,-1,168,June,large,8,0,14143,31.47,71533.30172,71538.05979,72477.28076,4871,66024,1848,770276,,,,,,,,,
DLog,4,-1,168,June,large,1,14,29548,56.03,70804.319,70811.2551,70576.42769,4871,66024,1848,770276,,,,,,,,,
DLog,4,-1,168,June,large,2,5793,126657,299.17,71719.22127,71726.2686,72250.14417,4871,66024,1848,770276,,,,,,,,,
DLog,4,-1,168,June,large,4,129491,2870552,3600.08,72674.19702,72704.57278,72975.93251,2427,42716,875,845807,,,,,,,,,
DLog,4,-1,168,June,large,0,116252,1845861,3600.07,70604.33198,70630.4103,70923.8617,4070,65517,1678,1449869,,,,,,,,,
DLog,4,-1,168,June,large,5,125045,3684673,3600.24,68058.09759,69647.29546,68605.68104,4034,65517,1678,1068289,,,,,,,,,
DLog,4,-1,168,June,large,3,70365,1649524,3600.3,72096.00894,72166.32079,72911.12431,2538,43099,888,1020039,,,,,,,,,
DLog,4,-1,168,June,large,9,41958,1512296,3600.59,68562.05217,68802.77698,68535.13862,3827,63365,1419,1299728,,,,,,,,,
DLog,4,-1,168,June,large,7,62899,1151395,3600.8,70732.29135,70818.29347,70777.22498,2962,50170,1095,2107054,,,,,,,,,
GIB+Cuts,4,-1,168,December,small,2,0,7936,2.1,175633,175650,177120,5207,5712,2016,36284,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,small,1,4,13597,5.43,173010,173026,176931,5207,5712,2016,35948,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,small,4,1315,52104,16.14,174250,174250,177384,5879,6048,2352,39644,TRUE,100,5,50,1,52,0.876941,174250,174370
GIB+Cuts,4,-1,168,December,small,3,751,61157,17.82,168487,168487,172644,5207,5712,2016,34772,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,small,0,366090,17541269,3600.08,168187,169894,174307,4673,5150,1791,156775,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,small,6,0,8310,2.34,174525,174541,176658,5207,5712,2016,34268,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,small,8,4,9173,2.89,175259,175259,177798,4871,5544,1848,34436,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,small,9,430,27947,7.68,165573,165587,167517,5207,5712,2016,36284,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,small,5,0,13914,9.16,165538,165551,173093,4871,5544,1848,35948,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,small,7,600396,26698443,3600.05,161762,162016,165820,5100,5328,1969,133090,TRUE,100,5,50,1,20982,424.748,161595,164262
GIB+Cuts,4,-1,168,December,medium,2,7,14339,10.39,176392,176405,177761,5879,9912,2352,78284,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,medium,4,32,10926,13.97,173860,173872,176505,5879,9912,2352,83828,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,medium,1,107796,1982593,442.91,174759,174776,176832,6887,10416,2856,87188,TRUE,100,5,50,1,808,86.5466,56667.9,175706
GIB+Cuts,4,-1,168,December,medium,0,84222,1726219,634.63,174722,174739,177040,5879,9912,2352,79460,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,medium,3,108786,4424166,935.15,173831,174157,175787,4695,9049,1826,140110,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,medium,8,46220,1485734,257.96,176440,176457,178144,5879,9912,2352,83324,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,medium,7,501952,8770435,2529.01,175361,175378,177334,5879,9912,2352,82148,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,medium,6,446520,8469684,3600.07,172327,172401,173902,4699,8946,1776,302070,TRUE,100,5,50,1,0,0,0,0
GIB+Cuts,4,-1,168,December,medium,5,424966,11269389,3600.06,174576,174855,175663,4788,9022,1909,264827,TRUE,100,5,50,1,0,0,0,0
