model,threads,xprs_cuts,nperiod,month,size,inst,nodes,simplexiter,runtime,bestobj,bestbound,actobj,rows,cols,binaries,nonzeros
CC,4,-1,168,April,large,6_reduced,180867,1833702,3600.19,39259.96172,39321.23953,39364.71374,15847,36201,22431,319867
CC,4,-1,168,April,large,7_reduced,85537,3951840,3600.18,37914.93787,38415.72033,38498.48086,15657,35700,22095,351115
CC,4,-1,168,April,large,5_reduced,61016,4743268,3600.1,39098.75111,39116.0386,39428.79014,15948,36209,22434,296962
MC,4,-1,168,June,large,8_reduced,1153,166660,285.54,71552.49686,71558.97582,71444.785,67031,65856,22176,345236
MC,4,-1,168,June,large,8_reduced,1153,166660,292.24,71552.49686,71558.97582,71444.785,67031,65856,22176,345236
MC,4,-1,168,June,medium,1_reduced,9167,358165,297.95,69514.51079,69521.45541,70229.24923,35783,34608,11760,180596
MC,4,-1,168,June,large,2_reduced,870,121969,361.18,71717.15217,71723.84687,72246.92277,68039,66864,22512,350612
MC,4,-1,168,June,small,4_reduced,32527,1430316,887.81,63763.21197,63768.01086,64327.96139,16631,15456,5376,79796
MC,4,-1,168,June,large,6_reduced,19150,499359,1037.85,68234.39785,68234.46648,68641.56164,68039,66864,22512,350612
MC,4,-1,168,June,large,5_reduced,23465,630215,1156.18,69613.98763,69620.83283,69013.96379,68039,66864,22512,350612
MC,4,-1,168,June,small,7_reduced,736937,15122031,3600.03,66663.10366,66672.87447,68266.85497,11599,11140,3398,76011
MC,4,-1,168,June,large,7_reduced,56460,5998873,3600.12,70728.84121,71128.90232,71882.74698,56969,58327,18519,383897
MC,4,-1,168,December,small,4_reduced,2808,103953,57.54,174310.4631,174321.2845,176685.0411,16631,15456,5376,79796
MC,4,-1,168,December,small,7_reduced,37031,3407634,3600.18,161274.941,163919.144,165478.1168,15291,14177,4821,149045
MC,4,-1,168,December,medium,1_reduced,27567,1960061,3600.49,174044.2959,175626.3291,175397.9216,31615,31324,10178,234775
MC,4,-1,168,December,large,8_reduced,43485,1833272,3600.12,176973.6089,177061.3005,177634.7066,61994,61922,20400,365540
MC,4,-1,168,December,large,9_reduced,32716,2742740,3600.13,175875.4944,176105.5134,176396.4113,62936,62510,20662,360582
MC,4,-1,168,December,large,7_reduced,2564,260207,3600.21,131260.5713,175790.6966,129350.3345,62472,62028,20436,386688
MC,4,-1,168,December,large,6_reduced,34358,2235073,3600.18,176906.4295,177392.1774,177086.7028,64033,63586,20996,376300
MC,4,-1,168,December,large,2_reduced,10900,1305626,3600.25,164954.9575,175250.208,166060.6119,62546,62464,20618,416928
MC,4,-1,168,December,large,5_reduced,38619,1806110,3600.08,176536.065,176652.0215,177384.7196,63645,63300,20918,375483
MC,4,-1,168,April,small,7_reduced,89877,3559977,2455.16,31401.34287,31404.37808,31718.83899,16631,15456,5376,79796
MC,4,-1,168,April,small,4_reduced,144917,4218182,3600.15,35873.43297,36092.11395,38597.5262,10422,10178,2839,69796
MC,4,-1,168,April,medium,1_reduced,40279,2126310,3600.18,37487.12278,38091.43255,38225.7741,25855,27070,8098,150784
MC,4,-1,168,April,large,9_reduced,36074,2310964,3600.14,38886.74887,38925.16998,39359.20479,36613,41016,10670,217638
MC,4,-1,168,April,large,8_reduced,35554,1828558,3600.2,39098.59215,39329.11344,39383.0133,51958,53692,16510,317643
MC,4,-1,168,April,large,7_reduced,16712,1508919,3600.38,37824.59837,38417.30404,38490.91073,51201,52976,16010,315934
MC,4,-1,168,April,large,2_reduced,49714,2209088,3600.15,38909.35342,39036.30198,39147.0245,51935,54180,16800,335945
MC,4,-1,168,April,large,5_reduced,71515,2163892,3600.15,39102.06538,39126.75301,39435.55866,53621,55060,17030,302673
MC,4,-1,168,April,large,6_reduced,18475,1086254,3600.28,39230.7557,39372.87571,39366.84338,54881,55837,17261,312801
DLog,4,-1,168,June,large,8_reduced,546,37927,59.85,71550.83722,71557.13483,72473.31466,4871,67032,1848,782372
DLog,4,-1,168,June,large,8_reduced,546,37927,60.91,71550.83722,71557.13483,72473.31466,4871,67032,1848,782372
DLog,4,-1,168,June,large,2_reduced,3288,77566,139.69,71719.22127,71726.20104,72250.14417,5207,68208,2016,860324
DLog,4,-1,168,June,medium,1_reduced,63148,762695,841.2,69514.3315,69521.27729,70229.26818,4871,35784,1848,407396
DLog,4,-1,168,June,small,4_reduced,690708,5719137,3034.19,63763.18247,63769.55602,65366.2601,4199,16296,1512,148676
DLog,4,-1,168,June,small,7_reduced,180444,11720521,3600.2,66355.74935,67509.25427,68211.69689,3565,15644,1288,392964
DLog,4,-1,168,June,large,7_reduced,116596,1442558,3600.1,70729.24671,70793.01274,71782.89476,4091,66525,1678,1475953
DLog,4,-1,168,June,large,5_reduced,195615,1984789,3600.11,69605.25521,69626.49645,70135.20759,1965,35227,671,738781
DLog,4,-1,168,June,large,6_reduced,84177,1206181,3600.31,68280.32808,68349.11451,69775.93561,4418,67696,1841,1753654
DLog,4,-1,168,December,small,4_reduced,12873,294737,150.83,174311.7472,174329.0692,176693.3507,4199,16296,1512,148676
DLog,4,-1,168,December,small,7_reduced,133499,7274931,3600.23,158546.5988,164739.9715,163206.9558,3648,15789,1342,489800
DLog,4,-1,168,December,medium,1_reduced,122162,8272310,3600.1,151651.7827,175787.2952,152463.5766,4312,35277,1678,565650
DLog,4,-1,168,December,large,9_reduced,41801,1850463,3600.14,170596.7482,176265.3856,171020.2361,4085,66493,1646,2466517
DLog,4,-1,168,December,large,8_reduced,46447,3099990,3600.33,161682.2383,177062.8933,162171.6939,4188,66525,1678,2170270
DLog,4,-1,168,December,large,7_reduced,41994,3389665,3600.45,57476.68548,176101.9096,57934.27352,4335,66525,1678,1465987
DLog,4,-1,168,December,large,5_reduced,47664,2764881,3600.24,137526.742,176876.6778,137956.1607,4586,67701,1846,1509102
DLog,4,-1,168,December,large,2_reduced,47220,2642872,3600.35,125478.9324,175355.6249,126618.4588,4473,67701,1846,1506137
DLog,4,-1,168,December,large,6_reduced,47575,2705724,3600.3,162950.6672,177375.6593,163574.4224,4519,67701,1846,2434085
DLog,4,-1,168,April,small,4_reduced,558079,7034793,3600.1,35878.84291,35896.40394,38611.12384,2336,11876,857,227808
DLog,4,-1,168,April,small,7_reduced,141751,7899881,3600.25,30917.0497,33042.19471,31642.0682,3595,15789,1342,383415
DLog,4,-1,168,April,medium,1_reduced,84303,3844444,3600.26,32930.17668,38300.18175,33634.4187,4301,35277,1678,747304
DLog,4,-1,168,April,large,9_reduced,37012,1454080,3600.12,38022.7421,39022.96148,38444.43956,4154,66525,1678,1390708
DLog,4,-1,168,April,large,8_reduced,49192,2798018,3600.24,21228.61872,39267.66666,21467.00007,4131,66525,1678,1557618
DLog,4,-1,168,April,large,2_reduced,73620,2112537,3600.18,33943.86345,39045.68977,34192.01583,4427,67701,1846,1269723
DLog,4,-1,168,April,large,5_reduced,40806,2407045,3600.31,30588.8413,39169.18792,30948.20886,4542,67701,1846,1431081
DLog,4,-1,168,April,large,6_reduced,43802,2261477,3600.22,36360.89995,39361.0031,36508.40612,4473,67701,1846,1446944
GIB,4,-1,168,June,large,9_reduced,2146,72951,28.6,68599.36291,68605.91784,68474.49078,6551,16632,2688,167996
DCC,4,-1,168,December,large,9_reduced,19756,755174,1507.65,175875.34,175892.769,176398.5918,24023,87360,22176,371444
CC,4,-1,168,June,large,9_reduced,94988,7486763,3600.2,68599.36291,68803.59131,68230.73969,15657,35762,22154,375104
MC,4,-1,168,June,large,9_reduced,32017,2043454,2722.96,68599.7177,68599.78718,69495.78535,67031,65856,22176,345236
DCC,4,-1,168,June,large,9_reduced,84274,4172254,3600.09,68599.3629,68846.71172,69505.64871,16282,60639,15204,470647
DLog,4,-1,168,June,large,9_reduced,47555,1589253,3600.24,68567.93767,68763.98158,68568.24794,3740,63567,1409,1461063
DLog,4,-1,168,April,large,7_reduced,76017,4513068,3600.37,5156.940276,38692.05697,3582.489881,4208,66525,1678,1433053
